DATE,TOTAL_SALE
2025-08-01,1110.00
2025-08-02,1042.30
2025-08-03,1138.10
2025-08-04,1073.10
2025-08-05,1069.60
2025-08-06,1060.40
2025-08-07,1146.00
2025-08-08,1335.00
2025-08-09,1220.30
2025-08-10,1033.60
2025-08-11,1003.40
2025-08-12,1089.00
2025-08-13,1021.30
2025-08-14,1135.10
2025-08-15,1034.10
2025-08-16,1070.10
2025-08-17,1106.90
2025-08-18,1146.50
2025-08-19,1190.70
2025-08-20,1055.10
2025-08-21,1034.10
2025-08-22,1059.80
2025-08-23,1078.50
2025-08-24,1039.30
2025-08-25,1117.10
2025-08-26,1016.10
2025-08-27,1034.10
2025-08-28,1141.60
2025-08-29,1028.00
2025-08-30,1019.30
2025-08-31,1296.00
