DATE,TOTAL_SALE
2025-07-01,1164.50
2025-07-02,1054.30
2025-07-03,888.10
2025-07-04,913.90
2025-07-05,1025.50
2025-07-06,981.30
2025-07-07,1038.10
2025-07-08,1067.10
2025-07-09,1039.60
2025-07-10,1064.90
2025-07-11,1066.00
2025-07-12,1057.70
2025-07-13,1064.10
2025-07-14,920.00
2025-07-15,914.30
2025-07-16,990.80
2025-07-17,1043.20
2025-07-18,980.00
2025-07-19,944.40
2025-07-20,1000.10
2025-07-21,985.60
2025-07-22,936.80
2025-07-23,1036.50
2025-07-24,1082.10
2025-07-25,1010.90
2025-07-26,961.00
2025-07-27,1034.70
2025-07-28,1041.10
2025-07-29,920.00
2025-07-30,914.30
2025-07-31,1169.50
