DATE,TOTAL_SALE
2025-10-01,1004.60
2025-10-02,1043.40
2025-10-03,1065.00
2025-10-04,1025.30
2025-10-05,1146.10
2025-10-06,1025.10
2025-10-07,1068.10
2025-10-08,1075.90
2025-10-09,1110.50
2025-10-10,1171.70
2025-10-11,1033.10
2025-10-12,1014.10
2025-10-13,1021.30
2025-10-14,1138.10
2025-10-15,1037.10
2025-10-16,1076.10
2025-10-17,1091.90
2025-10-18,1110.50
2025-10-19,1175.70
2025-10-20,1016.10
2025-10-21,1034.10
2025-10-22,1059.80
2025-10-23,1078.50
2025-10-24,1042.30
2025-10-25,1117.10
2025-10-26,1016.10
2025-10-27,1034.10
2025-10-28,1141.60
2025-10-29,1028.00
2025-10-30,1019.30
2025-10-31,1296.00
