DATE,TOTAL_SALE
2025-06-01,1083
2025-06-02,1051.8
2025-06-03,989.6
2025-06-04,994.9
2025-06-05,1112
2025-06-06,953.3
2025-06-07,1022.6
2025-06-08,1093.6
2025-06-09,1052.1
2025-06-10,1001.8
2025-06-11,970.5
2025-06-12,1061.1
2025-06-13,972.5
2025-06-14,1026.3
2025-06-15,1088.9
2025-06-16,976.8
2025-06-17,1008.7
2025-06-18,955.5
2025-06-19,935.9
2025-06-20,905.6
2025-06-21,892.3
2025-06-22,971.9
2025-06-23,985.5
2025-06-24,878.8
2025-06-25,976.4
2025-06-26,972
2025-06-27,1034.2
2025-06-28,1040.1
2025-06-29,928.5
2025-06-30,916.3
